Uniprot,Entrez_id
P10809,3329
P38646,3313
P61604,3336
P49411,7284
Q9Y2R9,51081
Q9NQW1,25956
O15027,9919
P52948,4928
Q8WUM0,55746
Q8WVM7,10274
Q9UQE7,9126
Q8NDV3,27127
Q9NTI5,23047
O60216,5885
P51587,675
P43351,5893
O96017,11200
Q96DA6,131118
Q9Y3D7,51025
Q12888,7158
O60671,5810
Q99638,5883
O60921,3364
P07992,2067
P48788,7136
P02585,7125
P45378,7140
P63316,7134
O15067,5198
Q06203,5471
P31939,471
Q9Y2P8,10171
Q9NRX1,56902
Q96G21,92856
Q9BVL2,9818
O60674,3717
P42229,6776
P51692,6777
Q9NZQ7,29126
Q15116,5133
O95760,90865
Q01638,9173
P23378,2731
P23434,2653
P48728,275
O60832,1736
Q9BSQ5,83605
Q99759,4215
P33316,1854
P68106,2281
Q92736,6262
O94986,22995
O00444,10733
O43837,3420
P50213,3419
Q9BU64,79172
Q6IPU0,401541
Q7L2Z9,55166
O94864,9913
Q92966,6619
Q16533,6617
Q16637,6606
Q16637,6607
O14893,8487
P40939,3030
P55084,3032
Q7Z4H7,54801
Q96CS2,115106
P46736,79184
Q9NWV8,29086
Q9NXR7,9577
Q99728,580
P23443,6198
Q9NRY2,58493
Q86YC2,79728
Q9UEF7,9365
Q9GZV9,8074
Q16576,5931
Q13547,3065
Q14839,1108
O14929,8520
O15123,285
P01589,3559
P60568,3558
O95711,9450
Q99467,4064
Q68CZ1,23322
O75161,261734
Q9BRS2,83732
Q9ULX3,28987
P08559,5160
P11177,5162
P10515,1737
P05161,9636
Q9UMW8,11274
Q16254,1874
P05305,1906
P24530,1910
P25101,1909
P43489,7293
P23510,7292
Q9Y253,5429
P39748,2237
P18858,3978
P52701,2956
P12643,650
P36894,657
Q13705,93
Q92878,10111
P49959,4361
O60934,4683
P10768,2098
P11766,128
P49916,3980
P18887,7515
Q12769,23279
O15259,4867
Q08AG7,440145
P23258,7283
Q5SY16,79707
Q9Y4W2,81887
Q15637,7536
Q9UK41,51160
Q8NEZ2,137492
Q9H9H4,79720
Q99816,7251
Q14562,1659
Q9NSA3,56998
P35222,1499
Q86TM6,84447
Q9UBV2,6400
Q13438,10956
O00273,1676
O76075,1677
P15976,2623
Q99496,6045
Q9Y617,29968
O43175,26227
P61978,3190
P38159,27316
P31943,3187
P67870,1460
P68400,1457
P02462,1282
P08572,1284
Q15046,3735
P08709,2155
P13726,2152
O14521,6392
P21912,6390
Q99643,6391
P31040,6389
Q13619,8451
P18615,7936
Q8WX92,25920
Q15477,6499
Q6PGP7,9652
Q9UPR3,23381
P23025,7507
Q15109,177
